# epsilon,trials,avdiff (omega=n)
0.01,10,-0.0000
0.01,20,0.0375
0.01,30,0.0333
0.01,40,0.0269
0.01,50,0.0200
0.01,60,0.0083
0.01,70,0.0036
0.01,80,0.0094
0.01,90,0.0055
0.05,10,0.0250
0.05,20,0.0250
0.05,30,0.0083
0.05,40,0.0125
0.05,50,0.0100
0.05,60,0.0250
0.05,70,0.0250
0.05,80,0.0187
0.05,90,0.0194
0.09,10,-0.0000
0.09,20,0.0250
0.09,30,0.0250
0.09,40,-0.0000
0.09,50,0.0200
0.09,60,0.0167
0.09,70,0.0250
0.09,80,0.0250
0.09,90,0.0222
0.13,10,0.0500
0.13,20,-0.0000
0.13,30,-0.0000
0.13,40,0.0062
0.13,50,0.0050
0.13,60,0.0250
0.13,70,0.0179
0.13,80,0.0187
0.13,90,0.0167
0.17,10,-0.0000
0.17,20,0.0250
0.17,30,0.0417
0.17,40,0.0250
0.17,50,0.0100
0.17,60,0.0167
0.17,70,0.0214
0.17,80,0.0125
0.17,90,0.0083
0.21,10,0.0250
0.21,20,0.0250
0.21,30,0.0083
0.21,40,0.0125
0.21,50,0.0050
0.21,60,0.0375
0.21,70,0.0179
0.21,80,0.0062
0.21,90,0.0139
0.25,10,-0.0000
0.25,20,0.0250
0.25,30,0.0250
0.25,40,0.0187
0.25,50,0.0100
0.25,60,0.0167
0.25,70,0.0250
0.25,80,0.0125
0.25,90,0.0111
0.29,10,-0.0000
0.29,20,0.0500
0.29,30,-0.0000
0.29,40,0.0312
0.29,50,0.0150
0.29,60,0.0167
0.29,70,0.0250
0.29,80,0.0094
0.29,90,0.0111
0.33,10,-0.0000
0.33,20,0.0125
0.33,30,0.0083
0.33,40,0.0312
0.33,50,0.0200
0.33,60,0.0292
0.33,70,0.0321
0.33,80,0.0219
0.33,90,0.0222
0.37,10,0.0250
0.37,20,0.0125
0.37,30,0.0417
0.37,40,0.0312
0.37,50,0.0150
0.37,60,0.0208
0.37,70,0.0179
0.37,80,0.0375
0.37,90,0.0278
