# epsilon,omega-init,avdiff (trials=20)
0.01,2,-0.0276
0.01,6,0.0016
0.01,10,-0.0134
0.01,14,-0.0163
0.05,2,-0.0234
0.05,6,-0.0068
0.05,10,0.0216
0.05,14,-0.0127
0.09,2,0.0016
0.09,6,-0.0234
0.09,10,0.0366
0.09,14,0.0087
0.13,2,0.0266
0.13,6,-0.0068
0.13,10,-0.0034
0.13,14,-0.0020
0.17,2,-0.0234
0.17,6,0.0099
0.17,10,-0.0034
0.17,14,-0.0127
0.21,2,0.0016
0.21,6,-0.0234
0.21,10,-0.0084
0.21,14,0.0123
0.25,2,0.0016
0.25,6,0.0016
0.25,10,0.0016
0.25,14,-0.0056
0.29,2,0.0516
0.29,6,-0.0151
0.29,10,-0.0084
0.29,14,0.0194
0.33,2,0.1016
0.33,6,0.0099
0.33,10,-0.0034
0.33,14,0.0266
0.37,2,0.0016
0.37,6,0.0516
0.37,10,0.0316
0.37,14,-0.0163
