# epsilon,trials,avdiff (omega=n)
0.01,10,0.0166
0.01,20,0.0149
0.01,30,0.0016
0.01,40,0.0036
0.01,50,-0.0084
0.01,60,-0.0030
0.01,70,-0.0199
0.01,80,-0.0044
0.01,90,-0.0151
0.05,10,0.0766
0.05,20,0.0266
0.05,30,-0.0151
0.05,40,0.0203
0.05,50,0.0116
0.05,60,-0.0109
0.05,70,-0.0020
0.05,80,0.0078
0.05,90,0.0016
0.09,10,0.0016
0.09,20,0.0016
0.09,30,0.0182
0.09,40,-0.0047
0.09,50,0.0116
0.09,60,-0.0151
0.09,70,0.0123
0.09,80,0.0266
0.09,90,0.0016
0.13,10,0.0516
0.13,20,-0.0359
0.13,30,-0.0234
0.13,40,-0.0047
0.13,50,0.0116
0.13,60,-0.0026
0.13,70,-0.0056
0.13,80,0.0016
0.13,90,-0.0040
0.17,10,0.0266
0.17,20,0.0016
0.17,30,0.0016
0.17,40,-0.0297
0.17,50,-0.0034
0.17,60,-0.0026
0.17,70,-0.0092
0.17,80,-0.0078
0.17,90,0.0071
0.21,10,-0.0234
0.21,20,0.0016
0.21,30,-0.0068
0.21,40,0.0141
0.21,50,-0.0084
0.21,60,0.0016
0.21,70,-0.0234
0.21,80,0.0016
0.21,90,-0.0068
0.25,10,0.0016
0.25,20,-0.0359
0.25,30,0.0016
0.25,40,-0.0047
0.25,50,0.0066
0.25,60,-0.0109
0.25,70,-0.0127
0.25,80,-0.0016
0.25,90,-0.0096
0.29,10,0.0016
0.29,20,0.0266
0.29,30,-0.0068
0.29,40,0.0141
0.29,50,0.0016
0.29,60,-0.0193
0.29,70,-0.0056
0.29,80,-0.0109
0.29,90,0.0016
0.33,10,-0.0234
0.33,20,-0.0234
0.33,30,0.0099
0.33,40,-0.0109
0.33,50,0.0266
0.33,60,0.0057
0.33,70,0.0051
0.33,80,0.0016
0.33,90,0.0099
0.37,10,0.0016
0.37,20,-0.0109
0.37,30,-0.0151
0.37,40,-0.0234
0.37,50,0.0166
0.37,60,-0.0151
0.37,70,-0.0020
0.37,80,0.0047
0.37,90,-0.0179
