# numservices[h/n],target(%),factor,significant[k],overhead(%),avail(%),price,time(ms)
3,0.9400,3,1,0.00,0.0000,0.00,2.66
3,0.9400,4,1,0.00,0.0000,0.00,2.62
3,0.9500,1,3,0.33,0.9728,4.29,0.27
3,0.9500,2,1,0.00,0.0000,0.00,2.60
3,0.9500,3,1,0.00,0.0000,0.00,2.61
3,0.9500,4,1,0.00,0.0000,0.00,2.64
3,0.9600,1,3,0.33,0.9728,4.29,0.27
3,0.9600,2,1,0.00,0.0000,0.00,2.71
3,0.9600,3,1,0.00,0.0000,0.00,2.62
3,0.9600,4,1,0.00,0.0000,0.00,2.72
3,0.9700,1,3,0.33,0.9728,4.29,0.27
3,0.9700,2,1,0.00,0.0000,0.00,2.62
3,0.9700,3,1,0.00,0.0000,0.00,2.60
3,0.9700,4,1,0.00,0.0000,0.00,2.62
3,0.9800,1,3,1.00,0.9967,4.29,1.41
3,0.9800,2,1,0.00,0.0000,0.00,2.62
3,0.9800,3,1,0.00,0.0000,0.00,2.60
3,0.9800,4,1,0.00,0.0000,0.00,2.61
3,0.9900,1,3,1.00,0.9967,4.29,1.41
3,0.9900,2,1,0.00,0.0000,0.00,2.60
3,0.9900,3,1,0.00,0.0000,0.00,2.61
3,0.9900,4,1,0.00,0.0000,0.00,2.64
4,0.9000,1,4,0.25,0.9851,6.85,0.58
4,0.9000,2,8,0.75,0.9388,6.85,1.74
4,0.9000,3,1,0.00,0.0000,0.00,4.85
4,0.9000,4,1,0.00,0.0000,0.00,4.83
4,0.9100,1,4,0.25,0.9851,6.85,0.57
4,0.9100,2,8,0.75,0.9388,6.85,1.75
4,0.9100,3,1,0.00,0.0000,0.00,4.85
4,0.9100,4,1,0.00,0.0000,0.00,4.82
4,0.9200,1,4,0.25,0.9851,6.85,0.57
4,0.9200,2,8,0.75,0.9388,6.85,1.76
4,0.9200,3,1,0.00,0.0000,0.00,4.83
4,0.9200,4,1,0.00,0.0000,0.00,4.84
4,0.9300,1,4,0.25,0.9851,6.85,0.58
4,0.9300,2,8,0.75,0.9388,6.85,1.74
4,0.9300,3,1,0.00,0.0000,0.00,4.83
4,0.9300,4,1,0.00,0.0000,0.00,4.93
4,0.9400,1,4,0.25,0.9851,6.85,0.57
4,0.9400,2,1,0.00,0.0000,0.00,4.84
4,0.9400,3,1,0.00,0.0000,0.00,4.85
4,0.9400,4,1,0.00,0.0000,0.00,4.81
4,0.9500,1,4,0.25,0.9851,6.85,0.58
4,0.9500,2,1,0.00,0.0000,0.00,4.86
4,0.9500,3,1,0.00,0.0000,0.00,4.82
4,0.9500,4,1,0.00,0.0000,0.00,4.84
4,0.9600,1,4,0.25,0.9851,6.85,0.57
4,0.9600,2,1,0.00,0.0000,0.00,4.85
4,0.9600,3,1,0.00,0.0000,0.00,4.84
4,0.9600,4,1,0.00,0.0000,0.00,4.84
4,0.9700,1,4,0.25,0.9851,6.85,0.56
4,0.9700,2,1,0.00,0.0000,0.00,4.84
4,0.9700,3,1,0.00,0.0000,0.00,4.83
4,0.9700,4,1,0.00,0.0000,0.00,4.83
4,0.9800,1,4,0.25,0.9851,6.85,0.56
4,0.9800,2,1,0.00,0.0000,0.00,4.85
4,0.9800,3,1,0.00,0.0000,0.00,4.86
4,0.9800,4,1,0.00,0.0000,0.00,4.90
4,0.9900,1,4,0.75,0.9995,6.85,0.87
4,0.9900,2,1,0.00,0.0000,0.00,4.84
4,0.9900,3,1,0.00,0.0000,0.00,4.84
4,0.9900,4,1,0.00,0.0000,0.00,4.82
5,0.9000,1,5,0.60,0.9942,6.82,1.21
5,0.9000,2,10,0.90,0.9794,6.82,4.28
5,0.9000,3,1,0.00,0.0000,0.00,9.58
5,0.9000,4,1,0.00,0.0000,0.00,9.63
5,0.9100,1,5,0.60,0.9942,6.82,1.21
5,0.9100,2,10,0.90,0.9794,6.82,4.32
5,0.9100,3,1,0.00,0.0000,0.00,9.60
5,0.9100,4,1,0.00,0.0000,0.00,9.59
5,0.9200,1,5,0.60,0.9942,6.82,1.19
5,0.9200,2,10,0.90,0.9794,6.82,4.29
5,0.9200,3,1,0.00,0.0000,0.00,9.68
5,0.9200,4,1,0.00,0.0000,0.00,9.59
5,0.9300,1,5,0.60,0.9942,6.82,1.20
5,0.9300,2,10,0.90,0.9794,6.82,4.30
5,0.9300,3,1,0.00,0.0000,0.00,9.59
5,0.9300,4,1,0.00,0.0000,0.00,9.59
5,0.9400,1,5,0.60,0.9942,6.82,1.20
5,0.9400,2,10,0.90,0.9794,6.82,4.28
5,0.9400,3,1,0.00,0.0000,0.00,9.62
5,0.9400,4,1,0.00,0.0000,0.00,9.58
5,0.9500,1,5,0.60,0.9942,6.82,1.20
5,0.9500,2,10,0.90,0.9794,6.82,4.28
5,0.9500,3,1,0.00,0.0000,0.00,9.67
5,0.9500,4,1,0.00,0.0000,0.00,9.60
5,0.9600,1,5,0.60,0.9942,6.82,1.20
5,0.9600,2,10,0.90,0.9794,6.82,4.28
5,0.9600,3,1,0.00,0.0000,0.00,9.58
5,0.9600,4,1,0.00,0.0000,0.00,9.56
5,0.9700,1,5,0.60,0.9942,6.82,1.20
5,0.9700,2,10,0.90,0.9794,6.82,4.29
5,0.9700,3,1,0.00,0.0000,0.00,9.60
5,0.9700,4,1,0.00,0.0000,0.00,9.61
5,0.9800,1,5,0.60,0.9942,6.82,1.20
5,0.9800,2,10,1.30,0.9946,6.82,5.57
5,0.9800,3,1,0.00,0.0000,0.00,9.68
5,0.9800,4,1,0.00,0.0000,0.00,9.59
5,0.9900,1,5,0.60,0.9942,6.82,1.20
