# epsilon,omega-init,avdiff (trials=20)
0.01,2,-0.0007
0.01,6,0.0160
0.01,10,0.0343
0.01,14,0.0207
0.05,2,0.0243
0.05,6,0.0243
0.05,10,0.0243
0.05,14,0.0314
0.09,2,0.0243
0.09,6,0.0243
0.09,10,0.0143
0.09,14,0.0243
0.13,2,0.0243
0.13,6,0.0243
0.13,10,0.0093
0.13,14,0.0243
0.17,2,-0.0007
0.17,6,0.0243
0.17,10,0.0393
0.17,14,0.0207
0.21,2,0.0243
0.21,6,0.0493
0.21,10,0.0543
0.21,14,0.0243
0.25,2,0.0243
0.25,6,0.0326
0.25,10,0.0093
0.25,14,0.0172
0.29,2,-0.0007
0.29,6,0.0243
0.29,10,0.0143
0.29,14,0.0172
0.33,2,0.0493
0.33,6,0.0243
0.33,10,0.0143
0.33,14,0.0136
0.37,2,-0.0007
0.37,6,0.0326
0.37,10,0.0093
0.37,14,0.0207
