# epsilon,trials,avdiff (omega=n)
0.01,10,0.1233
0.01,20,0.0947
0.01,30,0.0959
0.01,40,0.0992
0.01,50,0.1112
0.01,60,0.0909
0.01,70,0.1021
0.01,80,0.0905
0.01,90,0.1037
0.05,10,0.1292
0.05,20,0.0892
0.05,30,0.1059
0.05,40,0.1317
0.05,50,0.1192
0.05,60,0.1076
0.05,70,0.0907
0.05,80,0.1080
0.05,90,0.1092
0.09,10,0.1492
0.09,20,0.1142
0.09,30,0.0892
0.09,40,0.0842
0.09,50,0.1052
0.09,60,0.0892
0.09,70,0.0964
0.09,80,0.1005
0.09,90,0.1159
0.13,10,0.0692
0.13,20,0.1292
0.13,30,0.0892
0.13,40,0.0942
0.13,50,0.1092
0.13,60,0.0926
0.13,70,0.1007
0.13,80,0.1042
0.13,90,0.1037
0.17,10,0.0792
0.17,20,0.1442
0.17,30,0.0659
0.17,40,0.1042
0.17,50,0.1012
0.17,60,0.1059
0.17,70,0.0907
0.17,80,0.1005
0.17,90,0.0837
0.21,10,0.1092
0.21,20,0.0692
0.21,30,0.1226
0.21,40,0.0992
0.21,50,0.0732
0.21,60,0.0826
0.21,70,0.0921
0.21,80,0.1117
0.21,90,0.0870
0.25,10,0.1592
0.25,20,0.1242
0.25,30,0.0959
0.25,40,0.0917
0.25,50,0.1072
0.25,60,0.0926
0.25,70,0.0978
0.25,80,0.1067
0.25,90,0.0937
0.29,10,0.0892
0.29,20,0.1042
0.29,30,0.0859
0.29,40,0.1167
0.29,50,0.0732
0.29,60,0.0892
0.29,70,0.0935
0.29,80,0.1205
0.29,90,0.0892
0.33,10,0.0592
0.33,20,0.1092
0.33,30,0.0926
0.33,40,0.1042
0.33,50,0.0872
0.33,60,0.1242
0.33,70,0.1178
0.33,80,0.1117
0.33,90,0.0848
0.37,10,0.0392
0.37,20,0.0942
0.37,30,0.1326
0.37,40,0.0967
0.37,50,0.0872
0.37,60,0.1209
0.37,70,0.0821
0.37,80,0.0930
0.37,90,0.0903
