# epsilon,trials,avdiff (omega=n)
0.01,10,0.0699
0.01,20,0.1099
0.01,30,0.1102
0.01,40,0.0899
0.01,50,0.0899
0.01,60,0.0849
0.01,70,0.0899
0.01,80,0.1112
0.01,90,0.0888
0.05,10,0.0799
0.05,20,0.0999
0.05,30,0.0899
0.05,40,0.0799
0.05,50,0.1039
0.05,60,0.0899
0.05,70,0.0871
0.05,80,0.1062
0.05,90,0.0933
0.09,10,0.0899
0.09,20,0.0949
0.09,30,0.1133
0.09,40,0.1124
0.09,50,0.1139
0.09,60,0.0983
0.09,70,0.0985
0.09,80,0.1199
0.09,90,0.0811
0.13,10,0.0499
0.13,20,0.1499
0.13,30,0.0833
0.13,40,0.0974
0.13,50,0.0879
0.13,60,0.0849
0.13,70,0.1014
0.13,80,0.1062
0.13,90,0.0888
0.17,10,0.1199
0.17,20,0.1099
0.17,30,0.0999
0.17,40,0.0899
0.17,50,0.0819
0.17,60,0.1049
0.17,70,0.0885
0.17,80,0.0987
0.17,90,0.1166
0.21,10,0.0899
0.21,20,0.0799
0.21,30,0.1199
0.21,40,0.1224
0.21,50,0.0979
0.21,60,0.1116
0.21,70,0.1185
0.21,80,0.0849
0.21,90,0.1077
0.25,10,0.0799
0.25,20,0.1399
0.25,30,0.0666
0.25,40,0.0974
0.25,50,0.1339
0.25,60,0.1016
0.25,70,0.0942
0.25,80,0.0887
0.25,90,0.1155
0.29,10,0.0899
0.29,20,0.0949
0.29,30,0.1166
0.29,40,0.0824
0.29,50,0.0959
0.29,60,0.0933
0.29,70,0.0928
0.29,80,0.0999
0.29,90,0.0866
0.33,10,0.1299
0.33,20,0.0799
0.33,30,0.0766
0.33,40,0.1149
0.33,50,0.0739
0.33,60,0.1083
0.33,70,0.1171
0.33,80,0.1074
0.33,90,0.0888
0.37,10,0.0599
0.37,20,0.0849
0.37,30,0.1099
0.37,40,0.1024
0.37,50,0.0919
0.37,60,0.0816
0.37,70,0.1085
0.37,80,0.0849
0.37,90,0.0999
