# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.2768
0.01,12,0.2743
0.01,22,0.2507
0.01,32,0.2433
0.01,42,0.3109
0.01,52,0.2756
0.01,62,0.2839
0.01,72,0.2496
0.01,82,0.2853
0.01,92,0.2675
0.01,102,0.2797
0.01,112,0.2616
0.01,122,0.2744
0.01,132,0.2704
0.01,142,0.2684
0.01,152,0.2753
0.01,162,0.2812
0.01,172,0.2723
0.01,182,0.2874
0.01,192,0.2764
0.01,202,0.2841
0.01,212,0.2633
0.01,222,0.2830
0.01,232,0.2705
0.01,242,0.2693
0.01,252,0.2762
0.01,262,0.2787
0.01,272,0.2564
0.01,282,0.2685
0.01,292,0.2566
0.01,302,0.2700
0.01,312,0.2685
0.01,322,0.2574
0.01,332,0.2689
0.01,342,0.2652
0.01,352,0.2679
0.01,362,0.2765
0.01,372,0.2589
0.01,382,0.2741
0.01,392,0.2650
0.01,402,0.2704
0.01,412,0.2695
0.01,422,0.2718
0.01,432,0.2777
0.01,442,0.2681
0.01,452,0.2698
0.01,462,0.2713
0.01,472,0.2626
0.01,482,0.2672
0.01,492,0.2686
0.01,502,0.2717
0.01,512,0.2625
0.01,522,0.2774
0.01,532,0.2815
0.01,542,0.2761
0.01,552,0.2681
0.01,562,0.2676
0.01,572,0.2680
0.01,582,0.2800
0.01,592,0.2805
0.01,602,0.2702
0.01,612,0.2634
0.01,622,0.2797
0.01,632,0.2737
0.01,642,0.2685
0.01,652,0.2705
0.01,662,0.2787
0.01,672,0.2721
0.01,682,0.2735
0.01,692,0.2765
0.01,702,0.2724
0.01,712,0.2712
0.01,722,0.2563
0.01,732,0.2691
0.01,742,0.2679
0.01,752,0.2741
0.01,762,0.2732
0.01,772,0.2693
0.01,782,0.2677
0.01,792,0.2744
0.01,802,0.2650
0.01,812,0.2675
0.01,822,0.2699
0.01,832,0.2781
0.01,842,0.2777
0.01,852,0.2765
0.01,862,0.2745
0.01,872,0.2751
0.01,882,0.2725
0.01,892,0.2747
0.01,902,0.2711
0.01,912,0.2739
0.01,922,0.2693
0.01,932,0.2697
0.01,942,0.2686
0.01,952,0.2764
0.01,962,0.2752
0.01,972,0.2639
0.01,982,0.2737
0.01,992,0.2757
0.01,1002,0.2663
0.01,1012,0.2695
0.01,1022,0.2735
0.05,2,0.2376
0.05,12,0.2621
0.05,22,0.2575
0.05,32,0.2762
0.05,42,0.2585
0.05,52,0.2977
0.05,62,0.2718
0.05,72,0.2670
0.05,82,0.2712
0.05,92,0.2697
0.05,102,0.2680
0.05,112,0.2706
0.05,122,0.2879
0.05,132,0.2727
0.05,142,0.2727
0.05,152,0.2664
0.05,162,0.2902
0.05,172,0.2760
0.05,182,0.2778
0.05,192,0.2616
0.05,202,0.2698
0.05,212,0.2670
0.05,222,0.2772
0.05,232,0.2690
0.05,242,0.2691
0.05,252,0.2784
0.05,262,0.2724
0.05,272,0.2672
0.05,282,0.2743
0.05,292,0.2772
0.05,302,0.2616
0.05,312,0.2703
0.05,322,0.2627
0.05,332,0.2747
0.05,342,0.2736
0.05,352,0.2749
0.05,362,0.2725
0.05,372,0.2676
0.05,382,0.2794
0.05,392,0.2638
0.05,402,0.2729
0.05,412,0.2642
0.05,422,0.2668
0.05,432,0.2723
0.05,442,0.2733
0.05,452,0.2717
0.05,462,0.2655
0.05,472,0.2696
0.05,482,0.2742
0.05,492,0.2679
0.05,502,0.2709
0.05,512,0.2718
0.05,522,0.2694
0.05,532,0.2752
0.05,542,0.2711
0.05,552,0.2763
0.05,562,0.2688
