# epsilon,omega-init,avdiff (trials=20)
0.05,572,0.2714
0.05,582,0.2663
0.05,592,0.2715
0.05,602,0.2769
0.05,612,0.2727
0.05,622,0.2689
0.05,632,0.2595
0.05,642,0.2641
0.05,652,0.2633
0.05,662,0.2703
0.05,672,0.2795
0.05,682,0.2773
0.05,692,0.2797
0.05,702,0.2719
0.05,712,0.2714
0.05,722,0.2805
0.05,732,0.2641
0.05,742,0.2680
0.05,752,0.2741
0.05,762,0.2712
0.05,772,0.2737
0.05,782,0.2700
0.05,792,0.2772
0.05,802,0.2731
0.05,812,0.2727
0.05,822,0.2752
0.05,832,0.2733
0.05,842,0.2698
0.05,852,0.2659
0.05,862,0.2703
0.05,872,0.2680
0.05,882,0.2771
0.05,892,0.2715
0.05,902,0.2674
0.05,912,0.2740
0.05,922,0.2699
0.05,932,0.2713
0.05,942,0.2686
0.05,952,0.2707
0.05,962,0.2711
0.05,972,0.2752
0.05,982,0.2708
0.05,992,0.2795
0.05,1002,0.2766
0.05,1012,0.2711
0.05,1022,0.2724
0.09,2,0.2552
0.09,12,0.3163
0.09,22,0.2257
0.09,32,0.2340
0.09,42,0.2966
0.09,52,0.2621
0.09,62,0.2629
0.09,72,0.2739
0.09,82,0.2676
0.09,92,0.2621
0.09,102,0.2660
0.09,112,0.2661
0.09,122,0.2887
0.09,132,0.2742
0.09,142,0.2713
0.09,152,0.2904
0.09,162,0.2806
0.09,172,0.2548
0.09,182,0.2572
0.09,192,0.2558
0.09,202,0.2720
0.09,212,0.2583
0.09,222,0.2589
0.09,232,0.2780
0.09,242,0.2695
0.09,252,0.2710
0.09,262,0.2831
0.09,272,0.2753
0.09,282,0.2825
0.09,292,0.2676
0.09,302,0.2629
0.09,312,0.2716
0.09,322,0.2677
0.09,332,0.2621
0.09,342,0.2720
0.09,352,0.2786
0.09,362,0.2662
0.09,372,0.2716
0.09,382,0.2796
0.09,392,0.2757
0.09,402,0.2790
0.09,412,0.2787
0.09,422,0.2716
0.09,432,0.2783
0.09,442,0.2711
0.09,452,0.2686
0.09,462,0.2771
0.09,472,0.2716
0.09,482,0.2746
0.09,492,0.2807
0.09,502,0.2777
0.09,512,0.2696
0.09,522,0.2739
0.09,532,0.2720
0.09,542,0.2765
0.09,552,0.2721
0.09,562,0.2730
0.09,572,0.2709
0.09,582,0.2733
0.09,592,0.2715
0.09,602,0.2678
0.09,612,0.2703
0.09,622,0.2704
0.09,632,0.2732
0.09,642,0.2774
0.09,652,0.2740
0.09,662,0.2678
0.09,672,0.2803
0.09,682,0.2634
0.09,692,0.2767
0.09,702,0.2696
0.09,712,0.2683
0.09,722,0.2763
0.09,732,0.2666
0.09,742,0.2754
0.09,752,0.2680
0.09,762,0.2744
0.09,772,0.2764
0.09,782,0.2742
0.09,792,0.2753
0.09,802,0.2764
0.09,812,0.2686
0.09,822,0.2637
0.09,832,0.2693
0.09,842,0.2740
0.09,852,0.2768
0.09,862,0.2751
0.09,872,0.2698
0.09,882,0.2683
0.09,892,0.2721
0.09,902,0.2638
0.09,912,0.2770
0.09,922,0.2689
0.09,932,0.2698
0.09,942,0.2731
0.09,952,0.2691
0.09,962,0.2761
0.09,972,0.2689
0.09,982,0.2786
0.09,992,0.2726
0.09,1002,0.2715
0.09,1012,0.2791
0.09,1022,0.2711
0.13,2,0.2621
0.13,12,0.2371
0.13,22,0.2485
0.13,32,0.2793
0.13,42,0.2764
0.13,52,0.2515
0.13,62,0.2597
0.13,72,0.2607
0.13,82,0.2609
0.13,92,0.2833
0.13,102,0.2744
0.13,112,0.2862
0.13,122,0.2703
0.13,132,0.2594
0.13,142,0.2656
0.13,152,0.2598
0.13,162,0.2822
0.13,172,0.2499
0.13,182,0.2654
0.13,192,0.2772
0.13,202,0.2727
0.13,212,0.2654
0.13,222,0.2722
0.13,232,0.2709
0.13,242,0.2689
0.13,252,0.2732
0.13,262,0.2745
0.13,272,0.2713
0.13,282,0.2658
0.13,292,0.2701
0.13,302,0.2705
0.13,312,0.2719
0.13,322,0.2733
0.13,332,0.2794
0.13,342,0.2709
0.13,352,0.2665
0.13,362,0.2748
0.13,372,0.2704
0.13,382,0.2719
0.13,392,0.2673
0.13,402,0.2681
0.13,412,0.2629
0.13,422,0.2745
0.13,432,0.2747
0.13,442,0.2775
0.13,452,0.2717
0.13,462,0.2770
0.13,472,0.2690
0.13,482,0.2644
0.13,492,0.2672
0.13,502,0.2728
0.13,512,0.2759
0.13,522,0.2749
0.13,532,0.2773
0.13,542,0.2645
0.13,552,0.2664
0.13,562,0.2770
0.13,572,0.2696
0.13,582,0.2688
0.13,592,0.2744
0.13,602,0.2717
0.13,612,0.2645
0.13,622,0.2729
0.13,632,0.2641
0.13,642,0.2706
0.13,652,0.2688
0.13,662,0.2715
0.13,672,0.2744
0.13,682,0.2707
0.13,692,0.2692
0.13,702,0.2615
0.13,712,0.2683
0.13,722,0.2731
0.13,732,0.2753
0.13,742,0.2754
0.13,752,0.2781
0.13,762,0.2759
0.13,772,0.2704
0.13,782,0.2706
0.13,792,0.2776
0.13,802,0.2728
0.13,812,0.2743
0.13,822,0.2738
0.13,832,0.2726
0.13,842,0.2731
0.13,852,0.2733
0.13,862,0.2740
0.13,872,0.2805
0.13,882,0.2717
0.13,892,0.2648
0.13,902,0.2720
0.13,912,0.2734
0.13,922,0.2739
0.13,932,0.2747
0.13,942,0.2734
0.13,952,0.2789
0.13,962,0.2697
0.13,972,0.2671
0.13,982,0.2722
0.13,992,0.2712
0.13,1002,0.2681
0.13,1012,0.2726
0.13,1022,0.2737
0.17,2,0.3371
0.17,12,0.2496
0.17,22,0.2598
0.17,32,0.2887
0.17,42,0.2788
0.17,52,0.2861
0.17,62,0.2427
0.17,72,0.2864
0.17,82,0.2603
0.17,92,0.2762
0.17,102,0.2665
0.17,112,0.2800
0.17,122,0.2756
0.17,132,0.2784
0.17,142,0.2695
0.17,152,0.2568
0.17,162,0.2831
0.17,172,0.2659
0.17,182,0.2882
0.17,192,0.2730
0.17,202,0.2722
0.17,212,0.2701
0.17,222,0.2734
0.17,232,0.2746
0.17,242,0.2673
0.17,252,0.2627
0.17,262,0.2779
0.17,272,0.2744
0.17,282,0.2814
0.17,292,0.2739
0.17,302,0.2745
0.17,312,0.2735
0.17,322,0.2725
0.17,332,0.2803
0.17,342,0.2625
0.17,352,0.2611
0.17,362,0.2676
0.17,372,0.2706
0.17,382,0.2667
0.17,392,0.2728
0.17,402,0.2676
0.17,412,0.2703
0.17,422,0.2811
0.17,432,0.2729
0.17,442,0.2721
0.17,452,0.2776
0.17,462,0.2721
0.17,472,0.2662
0.17,482,0.2748
0.17,492,0.2724
0.17,502,0.2766
0.17,512,0.2730
0.17,522,0.2710
0.17,532,0.2691
0.17,542,0.2728
0.17,552,0.2632
0.17,562,0.2697
0.17,572,0.2737
0.17,582,0.2817
0.17,592,0.2669
0.17,602,0.2745
0.17,612,0.2742
0.17,622,0.2720
0.17,632,0.2601
0.17,642,0.2680
0.17,652,0.2727
0.17,662,0.2771
0.17,672,0.2756
0.17,682,0.2721
0.17,692,0.2773
0.17,702,0.2736
0.17,712,0.2669
0.17,722,0.2746
0.17,732,0.2672
0.17,742,0.2738
0.17,752,0.2676
0.17,762,0.2714
0.17,772,0.2747
0.17,782,0.2706
0.17,792,0.2802
0.17,802,0.2640
0.17,812,0.2641
0.17,822,0.2740
0.17,832,0.2667
0.17,842,0.2734
0.17,852,0.2646
0.17,862,0.2652
0.17,872,0.2689
0.17,882,0.2641
0.17,892,0.2711
0.17,902,0.2650
0.17,912,0.2690
0.17,922,0.2745
0.17,932,0.2756
0.17,942,0.2768
0.17,952,0.2712
0.17,962,0.2717
0.17,972,0.2721
0.17,982,0.2721
0.17,992,0.2742
0.17,1002,0.2709
0.17,1012,0.2691
0.17,1022,0.2691
0.21,2,0.2121
0.21,12,0.2538
0.21,22,0.2621
0.21,32,0.3074
0.21,42,0.2692
0.21,52,0.2823
0.21,62,0.2484
0.21,72,0.2593
0.21,82,0.2536
0.21,92,0.2724
0.21,102,0.2812
0.21,112,0.2679
0.21,122,0.2855
0.21,132,0.2579
0.21,142,0.2702
0.21,152,0.2720
0.21,162,0.2609
0.21,172,0.2740
0.21,182,0.2835
0.21,192,0.2751
0.21,202,0.2809
0.21,212,0.2758
0.21,222,0.2648
0.21,232,0.2722
0.21,242,0.2683
0.21,252,0.2784
0.21,262,0.2728
0.21,272,0.2786
0.21,282,0.2839
0.21,292,0.2636
0.21,302,0.2702
0.21,312,0.2762
0.21,322,0.2801
0.21,332,0.2766
0.21,342,0.2719
0.21,352,0.2629
0.21,362,0.2772
0.21,372,0.2683
0.21,382,0.2730
0.21,392,0.2760
0.21,402,0.2704
0.21,412,0.2746
0.21,422,0.2654
0.21,432,0.2637
0.21,442,0.2715
0.21,452,0.2665
0.21,462,0.2626
0.21,472,0.2736
0.21,482,0.2695
0.21,492,0.2690
0.21,502,0.2641
0.21,512,0.2752
0.21,522,0.2713
0.21,532,0.2667
0.21,542,0.2688
0.21,552,0.2674
0.21,562,0.2673
0.21,572,0.2767
0.21,582,0.2763
0.21,592,0.2781
0.21,602,0.2689
0.21,612,0.2779
0.21,622,0.2717
0.21,632,0.2720
0.21,642,0.2664
0.21,652,0.2722
0.21,662,0.2814
0.21,672,0.2770
0.21,682,0.2704
0.21,692,0.2745
0.21,702,0.2771
0.21,712,0.2698
0.21,722,0.2786
0.21,732,0.2745
0.21,742,0.2753
0.21,752,0.2749
0.21,762,0.2695
0.21,772,0.2725
0.21,782,0.2698
0.21,792,0.2817
0.21,802,0.2672
0.21,812,0.2671
0.21,822,0.2781
0.21,832,0.2700
0.21,842,0.2736
0.21,852,0.2660
0.21,862,0.2653
0.21,872,0.2799
0.21,882,0.2645
0.21,892,0.2736
0.21,902,0.2713
0.21,912,0.2689
0.21,922,0.2686
0.21,932,0.2801
0.21,942,0.2719
0.21,952,0.2737
0.21,962,0.2744
0.21,972,0.2695
0.21,982,0.2696
0.21,992,0.2720
0.21,1002,0.2738
0.21,1012,0.2666
0.21,1022,0.2762
0.25,2,0.2871
0.25,12,0.2663
0.25,22,0.2939
0.25,32,0.2590
0.25,42,0.3014
0.25,52,0.2967
0.25,62,0.2774
0.25,72,0.2836
0.25,82,0.2566
0.25,92,0.2632
0.25,102,0.2788
0.25,112,0.2746
0.25,122,0.2555
0.25,132,0.2636
0.25,142,0.2786
0.25,152,0.2723
0.25,162,0.2615
0.25,172,0.2644
0.25,182,0.2841
0.25,192,0.2863
0.25,202,0.2772
0.25,212,0.2755
0.25,222,0.2686
0.25,232,0.2813
0.25,242,0.2699
0.25,252,0.2688
0.25,262,0.2730
0.25,272,0.2639
0.25,282,0.2720
0.25,292,0.2758
0.25,302,0.2689
0.25,312,0.2693
0.25,322,0.2786
0.25,332,0.2785
0.25,342,0.2734
0.25,352,0.2686
0.25,362,0.2631
0.25,372,0.2692
0.25,382,0.2689
0.25,392,0.2616
0.25,402,0.2592
0.25,412,0.2702
0.25,422,0.2645
0.25,432,0.2746
0.25,442,0.2711
0.25,452,0.2746
0.25,462,0.2623
0.25,472,0.2786
0.25,482,0.2717
0.25,492,0.2685
0.25,502,0.2697
0.25,512,0.2688
0.25,522,0.2668
0.25,532,0.2690
0.25,542,0.2707
0.25,552,0.2759
0.25,562,0.2713
0.25,572,0.2752
0.25,582,0.2721
0.25,592,0.2650
0.25,602,0.2685
0.25,612,0.2650
0.25,622,0.2601
0.25,632,0.2692
0.25,642,0.2682
0.25,652,0.2645
0.25,662,0.2650
0.25,672,0.2727
0.25,682,0.2671
0.25,692,0.2708
0.25,702,0.2707
0.25,712,0.2766
0.25,722,0.2641
0.25,732,0.2665
0.25,742,0.2704
0.25,752,0.2660
0.25,762,0.2803
0.25,772,0.2723
0.25,782,0.2790
0.25,792,0.2754
0.25,802,0.2700
0.25,812,0.2713
0.25,822,0.2755
0.25,832,0.2775
0.25,842,0.2743
0.25,852,0.2710
0.25,862,0.2778
0.25,872,0.2679
0.25,882,0.2707
0.25,892,0.2703
0.25,902,0.2676
0.25,912,0.2689
0.25,922,0.2688
0.25,932,0.2716
0.25,942,0.2718
0.25,952,0.2729
0.25,962,0.2696
0.25,972,0.2720
0.25,982,0.2756
0.25,992,0.2667
0.25,1002,0.2707
0.25,1012,0.2697
0.25,1022,0.2755
0.29,2,0.2121
0.29,12,0.2996
0.29,22,0.2075
0.29,32,0.2496
0.29,42,0.2609
0.29,52,0.2919
0.29,62,0.2556
0.29,72,0.2663
0.29,82,0.2901
0.29,92,0.2855
0.29,102,0.2440
0.29,112,0.2603
0.29,122,0.2764
0.29,132,0.2564
0.29,142,0.2723
0.29,152,0.2822
0.29,162,0.2723
0.29,172,0.2697
0.29,182,0.2651
0.29,192,0.2558
0.29,202,0.2740
0.29,212,0.2722
0.29,222,0.2637
0.29,232,0.2660
0.29,242,0.2712
0.29,252,0.2913
0.29,262,0.2734
0.29,272,0.2785
0.29,282,0.2784
0.29,292,0.2734
0.29,302,0.2758
0.29,312,0.2756
0.29,322,0.2615
0.29,332,0.2654
0.29,342,0.2734
0.29,352,0.2742
0.29,362,0.2680
0.29,372,0.2742
0.29,382,0.2697
0.29,392,0.2649
0.29,402,0.2687
0.29,412,0.2645
0.29,422,0.2781
0.29,432,0.2696
0.29,442,0.2671
0.29,452,0.2788
0.29,462,0.2667
0.29,472,0.2800
0.29,482,0.2669
0.29,492,0.2765
0.29,502,0.2825
0.29,512,0.2719
0.29,522,0.2772
0.29,532,0.2593
0.29,542,0.2710
0.29,552,0.2673
0.29,562,0.2677
0.29,572,0.2723
0.29,582,0.2679
0.29,592,0.2710
0.29,602,0.2697
0.29,612,0.2737
0.29,622,0.2781
0.29,632,0.2717
0.29,642,0.2806
0.29,652,0.2726
0.29,662,0.2750
0.29,672,0.2738
0.29,682,0.2735
0.29,692,0.2750
0.29,702,0.2667
0.29,712,0.2717
0.29,722,0.2692
0.29,732,0.2791
0.29,742,0.2698
0.29,752,0.2769
0.29,762,0.2710
0.29,772,0.2634
0.29,782,0.2730
0.29,792,0.2784
0.29,802,0.2725
0.29,812,0.2625
0.29,822,0.2740
0.29,832,0.2688
0.29,842,0.2717
0.29,852,0.2809
0.29,862,0.2712
0.29,872,0.2694
0.29,882,0.2711
0.29,892,0.2677
0.29,902,0.2711
0.29,912,0.2719
0.29,922,0.2745
0.29,932,0.2665
0.29,942,0.2676
0.29,952,0.2761
0.29,962,0.2729
0.29,972,0.2691
0.29,982,0.2701
0.29,992,0.2680
0.29,1002,0.2736
0.29,1012,0.2700
0.29,1022,0.2680
0.33,2,0.1371
0.33,12,0.2704
0.33,22,0.3166
0.33,32,0.2637
0.33,42,0.2764
0.33,52,0.2352
0.33,62,0.2653
0.33,72,0.2739
0.33,82,0.2462
0.33,92,0.2648
0.33,102,0.2709
0.33,112,0.2616
0.33,122,0.2777
0.33,132,0.2780
0.33,142,0.2762
0.33,152,0.2776
0.33,162,0.2677
0.33,172,0.2743
0.33,182,0.2668
0.33,192,0.2696
0.33,202,0.2777
0.33,212,0.2753
0.33,222,0.2671
0.33,232,0.2722
0.33,242,0.2710
0.33,252,0.2655
0.33,262,0.2600
0.33,272,0.2831
0.33,282,0.2694
0.33,292,0.2684
0.33,302,0.2586
0.33,312,0.2724
0.33,322,0.2767
0.33,332,0.2809
0.33,342,0.2638
0.33,352,0.2693
0.33,362,0.2729
0.33,372,0.2671
0.33,382,0.2739
0.33,392,0.2689
0.33,402,0.2712
0.33,412,0.2676
0.33,422,0.2757
0.33,432,0.2710
0.33,442,0.2779
0.33,452,0.2727
0.33,462,0.2802
0.33,472,0.2785
0.33,482,0.2750
0.33,492,0.2755
0.33,502,0.2737
0.33,512,0.2685
0.33,522,0.2752
0.33,532,0.2722
0.33,542,0.2726
0.33,552,0.2662
0.33,562,0.2676
0.33,572,0.2727
0.33,582,0.2723
0.33,592,0.2674
0.33,602,0.2723
0.33,612,0.2727
0.33,622,0.2659
0.33,632,0.2768
0.33,642,0.2654
0.33,652,0.2700
0.33,662,0.2656
0.33,672,0.2797
0.33,682,0.2667
0.33,692,0.2728
0.33,702,0.2713
0.33,712,0.2672
0.33,722,0.2649
0.33,732,0.2720
0.33,742,0.2754
0.33,752,0.2709
0.33,762,0.2684
0.33,772,0.2664
0.33,782,0.2669
0.33,792,0.2690
0.33,802,0.2697
0.33,812,0.2727
0.33,822,0.2709
0.33,832,0.2680
0.33,842,0.2698
0.33,852,0.2673
0.33,862,0.2772
0.33,872,0.2636
0.33,882,0.2773
0.33,892,0.2665
0.33,902,0.2743
0.33,912,0.2738
0.33,922,0.2678
0.33,932,0.2699
0.33,942,0.2701
0.33,952,0.2696
0.33,962,0.2698
0.33,972,0.2709
0.33,982,0.2739
0.33,992,0.2662
0.33,1002,0.2712
0.33,1012,0.2660
0.33,1022,0.2774
0.37,2,0.1621
0.37,12,0.2454
0.37,22,0.2553
0.37,32,0.2980
0.37,42,0.2883
0.37,52,0.2948
0.37,62,0.2815
0.37,72,0.2836
0.37,82,0.2712
0.37,92,0.2833
0.37,102,0.2596
0.37,112,0.2822
0.37,122,0.2654
0.37,132,0.2841
0.37,142,0.2730
0.37,152,0.2726
0.37,162,0.2590
0.37,172,0.2763
0.37,182,0.2800
0.37,192,0.2676
0.37,202,0.2700
0.37,212,0.2612
0.37,222,0.2655
0.37,232,0.2755
0.37,242,0.2766
0.37,252,0.2726
0.37,262,0.2659
0.37,272,0.2715
0.37,282,0.2664
0.37,292,0.2753
0.37,302,0.2699
0.37,312,0.2792
0.37,322,0.2765
0.37,332,0.2713
0.37,342,0.2723
0.37,352,0.2722
0.37,362,0.2702
0.37,372,0.2776
0.37,382,0.2803
0.37,392,0.2592
0.37,402,0.2796
0.37,412,0.2672
0.37,422,0.2748
0.37,432,0.2799
0.37,442,0.2752
0.37,452,0.2784
0.37,462,0.2761
0.37,472,0.2696
0.37,482,0.2706
0.37,492,0.2723
0.37,502,0.2766
0.37,512,0.2680
0.37,522,0.2693
0.37,532,0.2744
0.37,542,0.2712
0.37,552,0.2683
0.37,562,0.2749
0.37,572,0.2753
0.37,582,0.2675
0.37,592,0.2653
0.37,602,0.2724
0.37,612,0.2725
0.37,622,0.2721
0.37,632,0.2619
0.37,642,0.2706
0.37,652,0.2714
0.37,662,0.2709
0.37,672,0.2700
0.37,682,0.2717
0.37,692,0.2690
0.37,702,0.2679
0.37,712,0.2761
0.37,722,0.2700
0.37,732,0.2728
0.37,742,0.2728
0.37,752,0.2672
0.37,762,0.2721
0.37,772,0.2721
0.37,782,0.2716
0.37,792,0.2733
0.37,802,0.2708
0.37,812,0.2685
0.37,822,0.2708
0.37,832,0.2762
0.37,842,0.2729
0.37,852,0.2718
0.37,862,0.2736
0.37,872,0.2747
0.37,882,0.2729
0.37,892,0.2709
0.37,902,0.2678
0.37,912,0.2762
0.37,922,0.2740
0.37,932,0.2720
0.37,942,0.2773
0.37,952,0.2682
0.37,962,0.2797
0.37,972,0.2701
0.37,982,0.2720
0.37,992,0.2677
0.37,1002,0.2745
0.37,1012,0.2724
0.37,1022,0.2719
