# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.1236
0.01,12,0.0873
0.01,22,0.1351
0.01,32,0.1108
0.01,42,0.1088
0.01,52,0.1316
0.01,62,0.1236
0.01,72,0.1471
0.01,82,0.1251
0.01,92,0.1314
0.01,102,0.1275
0.01,112,0.1204
0.01,122,0.1173
0.01,132,0.1248
0.01,142,0.1137
0.01,152,0.1150
0.01,162,0.1272
0.01,172,0.1263
0.01,182,0.1206
0.01,192,0.1175
0.01,202,0.1292
0.01,212,0.1274
0.01,222,0.1238
0.01,232,0.1279
0.01,242,0.1247
0.01,252,0.1286
0.01,262,0.1184
0.01,272,0.1283
0.01,282,0.1302
0.01,292,0.1315
0.01,302,0.1160
0.01,312,0.1272
0.01,322,0.1317
0.01,332,0.1263
0.01,342,0.1397
0.01,352,0.1240
0.01,362,0.1208
0.01,372,0.1258
0.01,382,0.1189
0.01,392,0.1220
0.01,402,0.1317
0.01,412,0.1318
0.01,422,0.1309
0.01,432,0.1285
0.01,442,0.1292
0.01,452,0.1197
0.01,462,0.1225
0.01,472,0.1236
0.01,482,0.1270
0.01,492,0.1201
0.01,502,0.1282
0.01,512,0.1179
0.01,522,0.1238
0.01,532,0.1237
0.01,542,0.1237
0.01,552,0.1222
0.01,562,0.1257
0.01,572,0.1241
0.01,582,0.1293
0.01,592,0.1248
0.01,602,0.1302
0.01,612,0.1268
0.01,622,0.1287
0.01,632,0.1169
0.01,642,0.1302
0.01,652,0.1241
0.01,662,0.1303
0.01,672,0.1280
0.01,682,0.1169
0.01,692,0.1161
0.01,702,0.1240
0.01,712,0.1286
0.01,722,0.1249
0.01,732,0.1285
0.01,742,0.1252
0.01,752,0.1254
0.01,762,0.1269
0.01,772,0.1268
0.01,782,0.1242
0.01,792,0.1214
0.01,802,0.1222
0.01,812,0.1274
0.01,822,0.1274
0.01,832,0.1271
0.01,842,0.1274
0.01,852,0.1269
0.01,862,0.1265
0.01,872,0.1314
0.01,882,0.1292
0.01,892,0.1293
0.01,902,0.1249
0.01,912,0.1271
0.01,922,0.1224
0.01,932,0.1232
0.01,942,0.1256
0.01,952,0.1298
0.01,962,0.1277
0.01,972,0.1228
0.01,982,0.1317
0.01,992,0.1268
0.01,1002,0.1233
0.01,1012,0.1274
0.01,1022,0.1216
0.05,2,0.0123
0.05,12,0.1290
0.05,22,0.0851
0.05,32,0.1498
0.05,42,0.1195
0.05,52,0.1239
0.05,62,0.1309
0.05,72,0.1318
0.05,82,0.1361
0.05,92,0.1308
0.05,102,0.1290
0.05,112,0.1119
0.05,122,0.1218
0.05,132,0.1313
0.05,142,0.1155
0.05,152,0.1285
0.05,162,0.1284
0.05,172,0.1123
0.05,182,0.1387
0.05,192,0.1290
0.05,202,0.1277
0.05,212,0.1265
0.05,222,0.1259
0.05,232,0.1378
0.05,242,0.1307
0.05,252,0.1286
0.05,262,0.1219
0.05,272,0.1180
0.05,282,0.1285
0.05,292,0.1224
0.05,302,0.1188
0.05,312,0.1231
0.05,322,0.1296
0.05,332,0.1196
0.05,342,0.1227
0.05,352,0.1237
0.05,362,0.1259
0.05,372,0.1275
0.05,382,0.1208
0.05,392,0.1158
0.05,402,0.1232
0.05,412,0.1236
0.05,422,0.1339
0.05,432,0.1263
0.05,442,0.1199
0.05,452,0.1213
0.05,462,0.1269
0.05,472,0.1328
0.05,482,0.1276
0.05,492,0.1213
0.05,502,0.1211
0.05,512,0.1266
0.05,522,0.1248
