# epsilon,omega-init,avdiff (trials=20)
0.05,532,0.1279
0.05,542,0.1248
0.05,552,0.1287
0.05,562,0.1236
0.05,572,0.1238
0.05,582,0.1202
0.05,592,0.1251
0.05,602,0.1218
0.05,612,0.1176
0.05,622,0.1201
0.05,632,0.1272
0.05,642,0.1216
0.05,652,0.1222
0.05,662,0.1274
0.05,672,0.1241
0.05,682,0.1252
0.05,692,0.1244
0.05,702,0.1274
0.05,712,0.1319
0.05,722,0.1234
0.05,732,0.1229
0.05,742,0.1268
0.05,752,0.1258
0.05,762,0.1215
0.05,772,0.1239
0.05,782,0.1242
0.05,792,0.1258
0.05,802,0.1253
0.05,812,0.1206
0.05,822,0.1297
0.05,832,0.1246
0.05,842,0.1200
0.05,852,0.1262
0.05,862,0.1278
0.05,872,0.1269
0.05,882,0.1265
0.05,892,0.1275
0.05,902,0.1208
0.05,912,0.1239
0.05,922,0.1275
0.05,932,0.1252
0.05,942,0.1303
0.05,952,0.1263
0.05,962,0.1209
0.05,972,0.1247
0.05,982,0.1244
0.05,992,0.1259
0.05,1002,0.1264
0.05,1012,0.1268
0.05,1022,0.1263
0.09,2,0.0873
0.09,12,0.1040
0.09,22,0.1260
0.09,32,0.1311
0.09,42,0.1123
0.09,52,0.1258
0.09,62,0.1438
0.09,72,0.1151
0.09,82,0.1111
0.09,92,0.1183
0.09,102,0.1359
0.09,112,0.1208
0.09,122,0.1263
0.09,132,0.1294
0.09,142,0.1285
0.09,152,0.1347
0.09,162,0.1278
0.09,172,0.1173
0.09,182,0.1217
0.09,192,0.1207
0.09,202,0.1331
0.09,212,0.1277
0.09,222,0.1322
0.09,232,0.1194
0.09,242,0.1239
0.09,252,0.1227
0.09,262,0.1308
0.09,272,0.1254
0.09,282,0.1219
0.09,292,0.1319
0.09,302,0.1287
0.09,312,0.1237
0.09,322,0.1227
0.09,332,0.1285
0.09,342,0.1227
0.09,352,0.1219
0.09,362,0.1239
0.09,372,0.1248
0.09,382,0.1240
0.09,392,0.1307
0.09,402,0.1253
0.09,412,0.1320
0.09,422,0.1184
0.09,432,0.1246
0.09,442,0.1329
0.09,452,0.1274
0.09,462,0.1239
0.09,472,0.1242
0.09,482,0.1235
0.09,492,0.1306
0.09,502,0.1245
0.09,512,0.1197
0.09,522,0.1277
0.09,532,0.1294
0.09,542,0.1226
0.09,552,0.1196
0.09,562,0.1207
0.09,572,0.1245
0.09,582,0.1257
0.09,592,0.1231
0.09,602,0.1226
0.09,612,0.1289
0.09,622,0.1241
0.09,632,0.1282
0.09,642,0.1282
0.09,652,0.1300
0.09,662,0.1235
0.09,672,0.1262
0.09,682,0.1246
0.09,692,0.1238
0.09,702,0.1215
0.09,712,0.1269
0.09,722,0.1276
0.09,732,0.1300
0.09,742,0.1243
0.09,752,0.1220
0.09,762,0.1298
0.09,772,0.1259
0.09,782,0.1190
0.09,792,0.1204
0.09,802,0.1249
0.09,812,0.1271
0.09,822,0.1202
0.09,832,0.1284
0.09,842,0.1252
0.09,852,0.1236
0.09,862,0.1232
0.09,872,0.1289
0.09,882,0.1285
0.09,892,0.1279
0.09,902,0.1287
0.09,912,0.1203
0.09,922,0.1267
0.09,932,0.1231
0.09,942,0.1268
0.09,952,0.1245
0.09,962,0.1255
0.09,972,0.1267
0.09,982,0.1258
0.09,992,0.1190
0.09,1002,0.1318
0.09,1012,0.1302
0.09,1022,0.1256
0.13,2,0.0623
0.13,12,0.1373
0.13,22,0.1260
0.13,32,0.1186
0.13,42,0.1338
0.13,52,0.1441
0.13,62,0.1188
0.13,72,0.1096
0.13,82,0.1154
0.13,92,0.1335
0.13,102,0.1207
0.13,112,0.1222
0.13,122,0.1214
0.13,132,0.1313
0.13,142,0.1342
0.13,152,0.1150
0.13,162,0.1268
0.13,172,0.1219
0.13,182,0.1296
0.13,192,0.1293
0.13,202,0.1245
0.13,212,0.1272
0.13,222,0.1245
0.13,232,0.1240
0.13,242,0.1287
0.13,252,0.1209
0.13,262,0.1163
0.13,272,0.1304
0.13,282,0.1288
0.13,292,0.1212
0.13,302,0.1246
0.13,312,0.1250
0.13,322,0.1167
0.13,332,0.1235
0.13,342,0.1277
0.13,352,0.1217
0.13,362,0.1331
0.13,372,0.1226
0.13,382,0.1309
0.13,392,0.1276
0.13,402,0.1300
0.13,412,0.1254
0.13,422,0.1303
0.13,432,0.1259
0.13,442,0.1216
0.13,452,0.1263
0.13,462,0.1268
0.13,472,0.1231
0.13,482,0.1290
0.13,492,0.1281
0.13,502,0.1245
0.13,512,0.1253
0.13,522,0.1341
0.13,532,0.1269
0.13,542,0.1239
0.13,552,0.1297
0.13,562,0.1270
0.13,572,0.1219
0.13,582,0.1261
0.13,592,0.1280
0.13,602,0.1255
0.13,612,0.1297
0.13,622,0.1223
0.13,632,0.1258
0.13,642,0.1205
0.13,652,0.1288
0.13,662,0.1185
0.13,672,0.1277
0.13,682,0.1253
0.13,692,0.1278
0.13,702,0.1258
0.13,712,0.1269
0.13,722,0.1294
0.13,732,0.1296
0.13,742,0.1290
0.13,752,0.1244
0.13,762,0.1236
0.13,772,0.1275
0.13,782,0.1281
0.13,792,0.1219
0.13,802,0.1216
0.13,812,0.1275
0.13,822,0.1208
0.13,832,0.1240
0.13,842,0.1250
0.13,852,0.1239
0.13,862,0.1273
0.13,872,0.1231
0.13,882,0.1208
0.13,892,0.1283
0.13,902,0.1228
0.13,912,0.1220
0.13,922,0.1231
0.13,932,0.1280
0.13,942,0.1225
0.13,952,0.1252
0.13,962,0.1239
0.13,972,0.1288
0.13,982,0.1234
0.13,992,0.1263
0.13,1002,0.1265
0.13,1012,0.1226
0.13,1022,0.1256
0.17,2,0.1373
0.17,12,0.1290
0.17,22,0.1328
0.17,32,0.0998
0.17,42,0.1242
0.17,52,0.1104
0.17,62,0.1204
0.17,72,0.1144
0.17,82,0.1251
0.17,92,0.1314
0.17,102,0.1192
0.17,112,0.1106
0.17,122,0.1267
0.17,132,0.1154
0.17,142,0.1130
0.17,152,0.1202
0.17,162,0.1309
0.17,172,0.1251
0.17,182,0.1351
0.17,192,0.1345
0.17,202,0.1339
0.17,212,0.1208
0.17,222,0.1209
0.17,232,0.1255
0.17,242,0.1218
0.17,252,0.1217
0.17,262,0.1228
0.17,272,0.1234
0.17,282,0.1193
0.17,292,0.1214
0.17,302,0.1325
0.17,312,0.1327
0.17,322,0.1218
0.17,332,0.1285
0.17,342,0.1226
0.17,352,0.1321
0.17,362,0.1268
0.17,372,0.1228
0.17,382,0.1287
0.17,392,0.1292
0.17,402,0.1223
0.17,412,0.1297
0.17,422,0.1256
0.17,432,0.1246
0.17,442,0.1242
0.17,452,0.1233
0.17,462,0.1293
0.17,472,0.1256
0.17,482,0.1195
0.17,492,0.1308
0.17,502,0.1274
0.17,512,0.1200
0.17,522,0.1254
0.17,532,0.1295
0.17,542,0.1253
0.17,552,0.1254
0.17,562,0.1236
0.17,572,0.1245
0.17,582,0.1242
0.17,592,0.1238
0.17,602,0.1227
0.17,612,0.1230
0.17,622,0.1291
0.17,632,0.1239
0.17,642,0.1285
0.17,652,0.1228
0.17,662,0.1205
0.17,672,0.1228
0.17,682,0.1275
0.17,692,0.1258
0.17,702,0.1290
0.17,712,0.1236
0.17,722,0.1239
0.17,732,0.1253
0.17,742,0.1243
0.17,752,0.1281
0.17,762,0.1252
0.17,772,0.1250
0.17,782,0.1276
0.17,792,0.1327
0.17,802,0.1247
0.17,812,0.1232
0.17,822,0.1261
0.17,832,0.1257
0.17,842,0.1237
0.17,852,0.1266
0.17,862,0.1239
0.17,872,0.1234
0.17,882,0.1227
0.17,892,0.1232
0.17,902,0.1220
0.17,912,0.1231
0.17,922,0.1289
0.17,932,0.1320
0.17,942,0.1261
0.17,952,0.1221
0.17,962,0.1254
0.17,972,0.1234
0.17,982,0.1246
0.17,992,0.1209
0.17,1002,0.1217
0.17,1012,0.1308
0.17,1022,0.1232
0.21,2,0.0123
0.21,12,0.0915
0.21,22,0.1055
0.21,32,0.1139
0.21,42,0.1195
0.21,52,0.1268
0.21,62,0.1373
0.21,72,0.1262
0.21,82,0.1190
0.21,92,0.1341
0.21,102,0.1251
0.21,112,0.1164
0.21,122,0.1234
0.21,132,0.1290
0.21,142,0.1137
0.21,152,0.1304
0.21,162,0.1281
0.21,172,0.1295
0.21,182,0.1283
0.21,192,0.1233
0.21,202,0.1168
0.21,212,0.1333
0.21,222,0.1249
0.21,232,0.1251
0.21,242,0.1309
0.21,252,0.1308
0.21,262,0.1257
0.21,272,0.1182
0.21,282,0.1317
0.21,292,0.1296
0.21,302,0.1305
0.21,312,0.1301
0.21,322,0.1257
0.21,332,0.1238
0.21,342,0.1239
0.21,352,0.1322
0.21,362,0.1221
0.21,372,0.1221
0.21,382,0.1266
0.21,392,0.1245
0.21,402,0.1217
0.21,412,0.1239
0.21,422,0.1244
0.21,432,0.1248
0.21,442,0.1345
0.21,452,0.1309
0.21,462,0.1289
0.21,472,0.1199
0.21,482,0.1284
0.21,492,0.1262
0.21,502,0.1249
0.21,512,0.1239
0.21,522,0.1279
0.21,532,0.1274
0.21,542,0.1214
0.21,552,0.1245
0.21,562,0.1292
0.21,572,0.1227
0.21,582,0.1299
0.21,592,0.1269
0.21,602,0.1210
0.21,612,0.1220
0.21,622,0.1288
0.21,632,0.1269
0.21,642,0.1198
0.21,652,0.1269
0.21,662,0.1285
0.21,672,0.1271
0.21,682,0.1222
0.21,692,0.1223
0.21,702,0.1227
0.21,712,0.1191
0.21,722,0.1275
0.21,732,0.1266
0.21,742,0.1252
0.21,752,0.1289
0.21,762,0.1232
0.21,772,0.1220
0.21,782,0.1277
0.21,792,0.1236
0.21,802,0.1299
0.21,812,0.1271
0.21,822,0.1226
0.21,832,0.1215
0.21,842,0.1245
0.21,852,0.1240
0.21,862,0.1194
0.21,872,0.1299
0.21,882,0.1256
0.21,892,0.1183
0.21,902,0.1287
0.21,912,0.1275
0.21,922,0.1320
0.21,932,0.1314
0.21,942,0.1262
0.21,952,0.1254
0.21,962,0.1276
0.21,972,0.1299
0.21,982,0.1220
0.21,992,0.1246
0.21,1002,0.1256
0.21,1012,0.1215
0.21,1022,0.1283
0.25,2,0.1623
0.25,12,0.1540
0.25,22,0.1146
0.25,32,0.1326
0.25,42,0.1433
0.25,52,0.1171
0.25,62,0.1317
0.25,72,0.1158
0.25,82,0.1398
0.25,92,0.1341
0.25,102,0.1084
0.25,112,0.1364
0.25,122,0.1275
0.25,132,0.1154
0.25,142,0.1271
0.25,152,0.1357
0.25,162,0.1281
0.25,172,0.1170
0.25,182,0.1360
0.25,192,0.1204
0.25,202,0.1198
0.25,212,0.1213
0.25,222,0.1218
0.25,232,0.1233
0.25,242,0.1324
0.25,252,0.1250
0.25,262,0.1289
0.25,272,0.1280
0.25,282,0.1175
0.25,292,0.1209
0.25,302,0.1299
0.25,312,0.1244
0.25,322,0.1269
0.25,332,0.1221
0.25,342,0.1234
0.25,352,0.1228
0.25,362,0.1231
0.25,372,0.1230
0.25,382,0.1277
0.25,392,0.1308
0.25,402,0.1255
0.25,412,0.1258
0.25,422,0.1237
0.25,432,0.1321
0.25,442,0.1256
0.25,452,0.1253
0.25,462,0.1267
0.25,472,0.1220
0.25,482,0.1292
0.25,492,0.1289
0.25,502,0.1234
0.25,512,0.1240
0.25,522,0.1241
0.25,532,0.1226
0.25,542,0.1265
0.25,552,0.1275
0.25,562,0.1218
0.25,572,0.1226
0.25,582,0.1251
0.25,592,0.1290
0.25,602,0.1256
0.25,612,0.1297
0.25,622,0.1221
0.25,632,0.1248
0.25,642,0.1218
0.25,652,0.1245
0.25,662,0.1257
0.25,672,0.1239
0.25,682,0.1302
0.25,692,0.1282
0.25,702,0.1243
0.25,712,0.1224
0.25,722,0.1239
0.25,732,0.1248
0.25,742,0.1260
0.25,752,0.1214
0.25,762,0.1282
0.25,772,0.1253
0.25,782,0.1284
0.25,792,0.1226
0.25,802,0.1236
0.25,812,0.1254
0.25,822,0.1237
0.25,832,0.1244
0.25,842,0.1240
0.25,852,0.1226
0.25,862,0.1235
0.25,872,0.1314
0.25,882,0.1241
0.25,892,0.1280
0.25,902,0.1233
0.25,912,0.1270
0.25,922,0.1220
0.25,932,0.1259
0.25,942,0.1279
0.25,952,0.1219
0.25,962,0.1262
0.25,972,0.1266
0.25,982,0.1258
0.25,992,0.1239
0.25,1002,0.1268
0.25,1012,0.1231
0.25,1022,0.1277
0.29,2,0.0623
0.29,12,0.1373
0.29,22,0.1305
0.29,32,0.1420
0.29,42,0.1159
0.29,52,0.1200
0.29,62,0.1260
0.29,72,0.1241
0.29,82,0.1142
0.29,92,0.1330
0.29,102,0.1163
0.29,112,0.1155
0.29,122,0.1353
0.29,132,0.1233
0.29,142,0.1303
0.29,152,0.1199
0.29,162,0.1185
0.29,172,0.1135
0.29,182,0.1448
0.29,192,0.1293
0.29,202,0.1183
0.29,212,0.1277
0.29,222,0.1191
0.29,232,0.1324
0.29,242,0.1204
0.29,252,0.1290
0.29,262,0.1276
0.29,272,0.1219
0.29,282,0.1242
0.29,292,0.1240
0.29,302,0.1246
0.29,312,0.1306
0.29,322,0.1231
0.29,332,0.1232
0.29,342,0.1291
0.29,352,0.1251
0.29,362,0.1227
0.29,372,0.1274
0.29,382,0.1304
0.29,392,0.1231
0.29,402,0.1254
0.29,412,0.1288
0.29,422,0.1221
0.29,432,0.1346
0.29,442,0.1278
0.29,452,0.1278
0.29,462,0.1237
0.29,472,0.1260
0.29,482,0.1195
0.29,492,0.1305
0.29,502,0.1285
0.29,512,0.1253
0.29,522,0.1235
0.29,532,0.1268
0.29,542,0.1271
0.29,552,0.1244
0.29,562,0.1266
0.29,572,0.1161
0.29,582,0.1251
0.29,592,0.1293
0.29,602,0.1231
0.29,612,0.1288
0.29,622,0.1241
0.29,632,0.1254
0.29,642,0.1217
0.29,652,0.1236
0.29,662,0.1277
0.29,672,0.1284
0.29,682,0.1294
0.29,692,0.1235
0.29,702,0.1303
0.29,712,0.1279
0.29,722,0.1220
0.29,732,0.1183
0.29,742,0.1222
0.29,752,0.1209
0.29,762,0.1264
0.29,772,0.1189
0.29,782,0.1254
0.29,792,0.1222
0.29,802,0.1266
0.29,812,0.1299
0.29,822,0.1243
0.29,832,0.1231
0.29,842,0.1273
0.29,852,0.1237
0.29,862,0.1227
0.29,872,0.1291
0.29,882,0.1237
0.29,892,0.1270
0.29,902,0.1215
0.29,912,0.1223
0.29,922,0.1224
0.29,932,0.1289
0.29,942,0.1241
0.29,952,0.1229
0.29,962,0.1214
0.29,972,0.1243
0.29,982,0.1219
0.29,992,0.1227
0.29,1002,0.1181
0.29,1012,0.1255
0.29,1022,0.1181
0.33,2,0.1123
0.33,12,0.1415
0.33,22,0.1123
0.33,32,0.1170
0.33,42,0.1469
0.33,52,0.1335
0.33,62,0.1099
0.33,72,0.1179
0.33,82,0.1349
0.33,92,0.1303
0.33,102,0.1417
0.33,112,0.1213
0.33,122,0.1123
0.33,132,0.1214
0.33,142,0.1222
0.33,152,0.1235
0.33,162,0.1318
0.33,172,0.1292
0.33,182,0.1181
0.33,192,0.1293
0.33,202,0.1255
0.33,212,0.1237
0.33,222,0.1207
0.33,232,0.1251
0.33,242,0.1361
0.33,252,0.1274
0.33,262,0.1261
0.33,272,0.1210
0.33,282,0.1258
0.33,292,0.1238
0.33,302,0.1276
0.33,312,0.1328
0.33,322,0.1282
0.33,332,0.1185
0.33,342,0.1309
0.33,352,0.1237
0.33,362,0.1273
0.33,372,0.1295
0.33,382,0.1252
0.33,392,0.1233
0.33,402,0.1235
0.33,412,0.1224
0.33,422,0.1260
0.33,432,0.1262
0.33,442,0.1268
0.33,452,0.1220
0.33,462,0.1300
0.33,472,0.1336
0.33,482,0.1261
0.33,492,0.1268
0.33,502,0.1198
0.33,512,0.1239
0.33,522,0.1259
0.33,532,0.1221
0.33,542,0.1303
0.33,552,0.1234
0.33,562,0.1308
0.33,572,0.1291
0.33,582,0.1269
0.33,592,0.1286
0.33,602,0.1221
0.33,612,0.1264
0.33,622,0.1264
0.33,632,0.1297
0.33,642,0.1193
0.33,652,0.1260
0.33,662,0.1232
0.33,672,0.1310
0.33,682,0.1260
0.33,692,0.1282
0.33,702,0.1283
0.33,712,0.1246
0.33,722,0.1218
0.33,732,0.1265
0.33,742,0.1220
0.33,752,0.1262
0.33,762,0.1213
0.33,772,0.1193
0.33,782,0.1242
0.33,792,0.1267
0.33,802,0.1264
0.33,812,0.1275
0.33,822,0.1252
0.33,832,0.1227
0.33,842,0.1232
0.33,852,0.1277
0.33,862,0.1281
0.33,872,0.1204
0.33,882,0.1325
0.33,892,0.1307
0.33,902,0.1222
0.33,912,0.1334
0.33,922,0.1263
0.33,932,0.1277
0.33,942,0.1266
0.33,952,0.1286
0.33,962,0.1239
0.33,972,0.1305
0.33,982,0.1257
0.33,992,0.1293
0.33,1002,0.1253
0.33,1012,0.1217
0.33,1022,0.1249
0.37,2,0.0873
0.37,12,0.1290
0.37,22,0.1123
0.37,32,0.1264
0.37,42,0.1433
0.37,52,0.1133
0.37,62,0.1373
0.37,72,0.1186
0.37,82,0.1325
0.37,92,0.1314
0.37,102,0.1177
0.37,112,0.1248
0.37,122,0.1308
0.37,132,0.1237
0.37,142,0.1166
0.37,152,0.1347
0.37,162,0.1262
0.37,172,0.1150
0.37,182,0.1338
0.37,192,0.1277
0.37,202,0.1217
0.37,212,0.1267
0.37,222,0.1301
0.37,232,0.1248
0.37,242,0.1280
0.37,252,0.1109
0.37,262,0.1221
0.37,272,0.1149
0.37,282,0.1320
0.37,292,0.1279
0.37,302,0.1251
0.37,312,0.1244
0.37,322,0.1248
0.37,332,0.1304
0.37,342,0.1227
0.37,352,0.1261
0.37,362,0.1274
0.37,372,0.1266
0.37,382,0.1233
0.37,392,0.1191
0.37,402,0.1315
0.37,412,0.1287
0.37,422,0.1250
0.37,432,0.1272
0.37,442,0.1268
0.37,452,0.1266
0.37,462,0.1240
0.37,472,0.1281
0.37,482,0.1235
0.37,492,0.1315
0.37,502,0.1293
0.37,512,0.1303
0.37,522,0.1246
0.37,532,0.1220
0.37,542,0.1240
0.37,552,0.1276
0.37,562,0.1259
0.37,572,0.1224
0.37,582,0.1220
0.37,592,0.1252
0.37,602,0.1230
0.37,612,0.1226
0.37,622,0.1242
0.37,632,0.1180
0.37,642,0.1303
0.37,652,0.1242
0.37,662,0.1294
0.37,672,0.1269
0.37,682,0.1211
0.37,692,0.1258
0.37,702,0.1272
0.37,712,0.1217
0.37,722,0.1195
0.37,732,0.1235
0.37,742,0.1202
0.37,752,0.1253
0.37,762,0.1273
0.37,772,0.1239
0.37,782,0.1276
0.37,792,0.1295
0.37,802,0.1229
0.37,812,0.1227
0.37,822,0.1272
0.37,832,0.1251
0.37,842,0.1266
0.37,852,0.1281
0.37,862,0.1193
0.37,872,0.1257
0.37,882,0.1246
0.37,892,0.1232
0.37,902,0.1240
0.37,912,0.1263
0.37,922,0.1262
0.37,932,0.1258
0.37,942,0.1259
0.37,952,0.1193
0.37,962,0.1256
0.37,972,0.1266
0.37,982,0.1253
0.37,992,0.1274
0.37,1002,0.1220
0.37,1012,0.1213
0.37,1022,0.1165
