# epsilon,trials,avdiff (omega=n)
0.01,10,0.1114
0.01,20,0.1030
0.01,30,0.0830
0.01,40,0.1080
0.01,50,0.1244
0.01,60,0.0997
0.01,70,0.0930
0.01,80,0.0818
0.01,90,0.0919
0.05,10,0.0930
0.05,20,0.0680
0.05,30,0.0863
0.05,40,0.0955
0.05,50,0.1010
0.05,60,0.1363
0.05,70,0.1216
0.05,80,0.1030
0.05,90,0.0963
0.09,10,0.0930
0.09,20,0.1080
0.09,30,0.0863
0.09,40,0.0655
0.09,50,0.0850
0.09,60,0.0863
0.09,70,0.1002
0.09,80,0.1168
0.09,90,0.1097
0.13,10,0.0730
0.13,20,0.0680
0.13,30,0.1097
0.13,40,0.1055
0.13,50,0.0910
0.13,60,0.1080
0.13,70,0.0973
0.13,80,0.1018
0.13,90,0.1063
0.17,10,0.1230
0.17,20,0.1130
0.17,30,0.0963
0.17,40,0.0880
0.17,50,0.1090
0.17,60,0.1180
0.17,70,0.0973
0.17,80,0.0993
0.17,90,0.1019
0.21,10,0.1130
0.21,20,0.1230
0.21,30,0.1063
0.21,40,0.0955
0.21,50,0.0850
0.21,60,0.1230
0.21,70,0.1002
0.21,80,0.1105
0.21,90,0.1097
0.25,10,0.0630
0.25,20,0.1030
0.25,30,0.0897
0.25,40,0.0855
0.25,50,0.0830
0.25,60,0.0963
0.25,70,0.1016
0.25,80,0.0943
0.25,90,0.1008
0.29,10,0.0730
0.29,20,0.1330
0.29,30,0.0863
0.29,40,0.0805
0.29,50,0.0890
0.29,60,0.0763
0.29,70,0.1030
0.29,80,0.0768
0.29,90,0.1075
0.33,10,0.0830
0.33,20,0.0980
0.33,30,0.1063
0.33,40,0.0830
0.33,50,0.1030
0.33,60,0.0963
0.33,70,0.1159
0.33,80,0.1105
0.33,90,0.0863
0.37,10,0.0930
0.37,20,0.1080
0.37,30,0.1030
0.37,40,0.1080
0.37,50,0.0650
0.37,60,0.0897
0.37,70,0.0844
0.37,80,0.0905
0.37,90,0.1141
