# epsilon,trials,avdiff (omega=n)
0.01,10,0.2971
0.01,20,0.2721
0.01,30,0.2766
0.01,40,0.2708
0.01,50,0.2693
0.01,60,0.2703
0.01,70,0.2692
0.01,80,0.2716
0.01,90,0.2726
0.05,10,0.3071
0.05,20,0.2421
0.05,30,0.2438
0.05,40,0.2946
0.05,50,0.2351
0.05,60,0.2854
0.05,70,0.2657
0.05,80,0.2508
0.05,90,0.2993
0.09,10,0.2471
0.09,20,0.2621
0.09,30,0.2438
0.09,40,0.3146
0.09,50,0.3051
0.09,60,0.2588
0.09,70,0.2785
0.09,80,0.2608
0.09,90,0.2893
0.13,10,0.2471
0.13,20,0.2521
0.13,30,0.3071
0.13,40,0.2296
0.13,50,0.2771
0.13,60,0.2621
0.13,70,0.2685
0.13,80,0.2596
0.13,90,0.2804
0.17,10,0.2271
0.17,20,0.2771
0.17,30,0.2504
0.17,40,0.2496
0.17,50,0.2531
0.17,60,0.2938
0.17,70,0.2785
0.17,80,0.2721
0.17,90,0.2449
0.21,10,0.3271
0.21,20,0.2321
0.21,30,0.3271
0.21,40,0.2771
0.21,50,0.2711
0.21,60,0.2821
0.21,70,0.2557
0.21,80,0.2233
0.21,90,0.2771
0.25,10,0.3271
0.25,20,0.2571
0.25,30,0.2571
0.25,40,0.2671
0.25,50,0.2751
0.25,60,0.2671
0.25,70,0.2657
0.25,80,0.2483
0.25,90,0.2782
0.29,10,0.2271
0.29,20,0.3071
0.29,30,0.2704
0.29,40,0.3096
0.29,50,0.2911
0.29,60,0.2788
0.29,70,0.2900
0.29,80,0.2658
0.29,90,0.2493
0.33,10,0.2571
0.33,20,0.2771
0.33,30,0.2838
0.33,40,0.2446
0.33,50,0.2211
0.33,60,0.2554
0.33,70,0.2900
0.33,80,0.2683
0.33,90,0.2771
0.37,10,0.2371
0.37,20,0.2771
0.37,30,0.2271
0.37,40,0.2796
0.37,50,0.2671
0.37,60,0.2638
0.37,70,0.2642
0.37,80,0.2471
0.37,90,0.2460
