# epsilon,omega-init,avdiff (trials=20)
0.01,2,0.1027
0.01,12,0.0958
0.01,22,0.0955
0.01,32,0.0859
0.01,42,0.1000
0.01,52,0.1048
0.01,62,0.1089
0.01,72,0.0972
0.01,82,0.0982
0.01,92,0.0875
0.01,102,0.0995
0.01,112,0.0942
0.01,122,0.1074
0.01,132,0.0958
0.01,142,0.1067
0.01,152,0.1023
0.01,162,0.0997
0.01,172,0.1128
0.01,182,0.1019
0.01,192,0.0964
0.01,202,0.1012
0.01,212,0.1005
0.01,222,0.1025
0.01,232,0.0994
0.01,242,0.0996
0.01,252,0.0964
0.01,262,0.1059
0.01,272,0.1055
0.01,282,0.0957
0.01,292,0.1010
0.01,302,0.1017
0.01,312,0.1011
0.01,322,0.1016
0.01,332,0.0979
0.01,342,0.1015
0.01,352,0.1003
0.01,362,0.0963
0.01,372,0.1000
0.01,382,0.0991
0.01,392,0.0962
0.01,402,0.0998
0.01,412,0.1005
0.01,422,0.1021
0.01,432,0.0958
0.01,442,0.1010
0.01,452,0.1007
0.01,462,0.1027
0.01,472,0.0944
0.01,482,0.1035
0.01,492,0.0997
0.01,502,0.0984
0.01,512,0.1039
0.01,522,0.1012
0.01,532,0.0998
0.01,542,0.1027
0.01,552,0.0972
0.01,562,0.0966
0.01,572,0.1003
0.01,582,0.1039
0.01,592,0.0971
0.01,602,0.1000
0.01,612,0.0964
0.01,622,0.0994
0.01,632,0.1024
0.01,642,0.1012
0.01,652,0.1027
0.01,662,0.0992
0.01,672,0.0995
0.01,682,0.0957
0.01,692,0.0953
0.01,702,0.1026
0.01,712,0.1000
0.01,722,0.1027
0.01,732,0.0934
0.01,742,0.0978
0.01,752,0.0987
0.01,762,0.1021
0.01,772,0.0999
0.01,782,0.1045
0.01,792,0.0965
0.01,802,0.1024
0.01,812,0.1045
0.01,822,0.0985
0.01,832,0.0980
0.01,842,0.1032
0.01,852,0.1021
0.01,862,0.1006
0.01,872,0.0982
0.01,882,0.1028
0.01,892,0.1036
0.01,902,0.0971
0.01,912,0.1022
0.01,922,0.0990
0.01,932,0.1013
0.01,942,0.0986
0.01,952,0.1025
0.01,962,0.1015
0.01,972,0.1007
0.01,982,0.1022
0.01,992,0.1028
0.01,1002,0.0994
0.01,1012,0.1043
0.01,1022,0.1005
0.05,2,0.0750
0.05,12,0.1125
0.05,22,0.1045
0.05,32,0.1062
0.05,42,0.0964
0.05,52,0.0865
0.05,62,0.1048
0.05,72,0.1014
0.05,82,0.1146
0.05,92,0.0897
0.05,102,0.1015
0.05,112,0.0933
0.05,122,0.1012
0.05,132,0.1095
0.05,142,0.1063
0.05,152,0.0967
0.05,162,0.1074
0.05,172,0.1044
0.05,182,0.0995
0.05,192,0.1016
0.05,202,0.1002
0.05,212,0.0915
0.05,222,0.0959
0.05,232,0.1002
0.05,242,0.1035
0.05,252,0.0978
0.05,262,0.1088
0.05,272,0.0983
0.05,282,0.0970
0.05,292,0.0990
0.05,302,0.0952
0.05,312,0.0952
0.05,322,0.1016
0.05,332,0.0991
0.05,342,0.1019
0.05,352,0.0932
